from,to,weight,relationship
FS,PA,3,2
FS ,RB,2,8
FS,DF,3,4
RB,AB,2,2
RB,F,3,4
JS,AA,3,2
GO,Y,3,4
DL,Y,3,4
GO,DL,3,2
PA,DF,3,4
AB,F,3,4
JS,S,3,4
AA,S,3,4
,,,
UNLOCKDERPODCAST,DZ,2,4
UNLOCKDERPODCAST,FP,2,4
DZ,FP,2,2
TRUDOKU,ML,2,4
TRUDOKU,LB,2,4
TRUDOKU,LEOS,2,4
TRUDOKU,CH,2,4
TRUDOKU,CCDS,2,4
TRUDOKU,SN,2,4
ML,LB,2,2
ML,LEOS,2,2
ML,CH,2,2
ML,CCDS,2,2
ML,SN,2,2
LB,LEOS,2,2
LB,CH,2,2
LB,CCDS,2,2
LB,SN,2,2
LEOS,CH,2,2
LEOS,CCDS,2,2
LEOS,SN,2,2
CH,CCDS,2,2
CH,SN,2,2
CINEMASTRIKESBACK,AT,2,4
CINEMASTRIKESBACK,JR,2,4
CINEMASTRIKESBACK,MARS,2,4
CINEMASTRIKESBACK,TB,2,4
AT,JR,2,2
AT,MARS,2,2
AT,TB,2,2
JR,MARS,2,2
JR,TB,2,2
MARS,TB,2,2
KURZGESAGT,VE,2,4
KURZGESAGT,LUKS,2,4
VE,LUKS,2,2
DERFALL,YA,2,4
DERFALL,MH,2,4
DERFALL,DANL,2,4
DERFALL,LH,2,4
DERFALL,KMJ,2,4
DERFALL,JELLR,2,4
DERFALL,MZ,2,4
DERFALL,IVD,2,4
DERFALL,SH,2,4
DERFALL,LV,2,4
DERFALL,NEMIH,2,4
DERFALL,LYDB,2,4
DERFALL,XV,2,4
YA,MH,2,2
YA,DANL,2,2
YA,LH,2,2
YA,KMJ,2,2
YA,JELLR,2,2
YA,MZ,2,2
YA,IVD,2,2
YA,SH,2,2
YA,LV,2,2
YA,NEMIH,2,2
YA,LYDB,2,2
YA,XV,2,2
MH,DANL,2,2
MH,LH,2,2
MH,KMJ,2,2
MH,JELLR,2,2
MH,MZ,2,2
MH,IVD,2,2
MH,SH,2,2
MH,LV,2,2
MH,NEMIH,2,2
MH,LYDB,2,2
MH,XV,2,2
DANL,LH,2,2
DANL,KMJ,2,2
DANL,JELLR,2,2
DANL,MZ,2,2
DANL,IVD,2,2
DANL,SH,2,2
DANL,LV,2,2
DANL,NEMIH,2,2
DANL,LYDB,2,2
DANL,XV,2,2
LH,KMJ,2,2
LH,JELLR,2,2
LH,MZ,2,2
LH,IVD,2,2
LH,SH,2,2
LH,LV,2,2
LH,NEMIH,2,2
LH,LYDB,2,2
LH,XV,2,2
KMJ,JELLR,2,2
KMJ,MZ,2,2
KMJ,IVD,2,2
KMJ,SH,2,2
KMJ,LV,2,2
KMJ,NEMIH,2,2
KMJ,LYDB,2,2
KMJ,XV,2,2
JELLR,MZ,2,2
JELLR,IVD,2,2
JELLR,SH,2,2
JELLR,LV,2,2
JELLR,NEMIH,2,2
JELLR,LYDB,2,2
JELLR,XV,2,2
MZ,IVD,2,2
MZ,SH,2,2
MZ,LV,2,2
MZ,NEMIH,2,2
MZ,LYDB,2,2
MZ,XV,2,2
IVD,SH,2,2
IVD,LV,2,2
IVD,NEMIH,2,2
IVD,LYDB,2,2
IVD,XV,2,2
SH,LV,2,2
SH,NEMIH,2,2
SH,LYDB,2,2
SH,XV,2,2
LV,NEMIH,2,2
LV,LYDB,2,2
LV,XV,2,2
NEMIH,LYDB,2,2
NEMIH,XV,2,2
LYDB,XV,2,2
NBAOVERTIME,MALES,2,
NBAOVERTIME,MAS,2,4
NBAOVERTIME,GC,2,4
NBAOVERTIME,LOB,2,4
NBAOVERTIME,TORBB,2,4
MALES,MAS,2,2
MALES,GC,2,2
MALES,LOB,2,2
MALES,TORBB,2,2
MAS,GC,2,2
MAS,LOB,2,2
MAS,TORBB,2,2
GC,LOB,2,2
GC,TORBB,2,2
LOB,TORBB,2,2
SOMANYTABS,JL,2,4
SOMANYTABS,MAIB,2,4
SOMANYTABS,VB,2,4
SOMANYTABS,NV,2,4
SOMANYTABS,SARH,2,4
SOMANYTABS,SARK,2,4
SOMANYTABS,KR,2,4
SOMANYTABS,AKD,2,4
JL,MAIB,2,2
