from,to,relationship,weight
UNLOCK,DZ,4,2
UNLOCK,FP,4,2
DZ,FP,2,2
TRUDOKU,ML,4,2
TRUDOKU,LB,4,2
TRUDOKU,LEOS,4,2
TRUDOKU,CH,4,2
TRUDOKU,CCDS,4,2
TRUDOKU,SN,4,2
ML,LB,2,2
ML,LEOS,2,2
ML,CH,2,2
ML,CCDS,2,2
ML,SN,2,2
LB,LEOS,2,2
LB,CH,2,2
LB,CCDS,2,2
LB,SN,2,2
LEOS,CH,2,2
LEOS,CCDS,2,2
LEOS,SN,2,2
CH,CCDS,2,2
CH,SN,2,2
CINEMASTRIKESBACK,AT,4,2
CINEMASTRIKESBACK,JR,4,2
CINEMASTRIKESBACK,MARS,4,2
CINEMASTRIKESBACK,TB,4,2
AT,JR,2,2
AT,MARS,2,2
AT,TB,2,2
JR,MARS,2,2
JR,TB,2,2
MARS,TB,2,2
KURZGESAGT,VE,4,2
KURZGESAGT,LUKASS,4,2
VE,LUKASS,2,2
DERFALL,YA,4,2
DERFALL,MH,4,2
DERFALL,DANL,4,2
DERFALL,LH,4,2
DERFALL,KMJ,4,2
DERFALL,JELLR,4,2
DERFALL,MZ,4,2
DERFALL,IVD,4,2
DERFALL,SH,4,2
DERFALL,LV,4,2
DERFALL,NEMI,4,2
DERFALL,LYDB,4,2
DERFALL,XV,4,2
YA,MH,2,2
YA,DANL,2,2
YA,LH,2,2
YA,KMJ,2,2
YA,JELLR,2,2
YA,MZ,2,2
YA,IVD,2,2
YA,SH,2,2
YA,LV,2,2
YA,NEMI,2,2
YA,LYDB,2,2
YA,XV,2,2
MH,DANL,2,2
MH,LH,2,2
MH,KMJ,2,2
MH,JELLR,2,2
MH,MZ,2,2
MH,IVD,2,2
MH,SH,2,2
MH,LV,2,2
MH,NEMI,2,2
MH,LYDB,2,2
MH,XV,2,2
DANL,LH,2,2
DANL,KMJ,2,2
DANL,JELLR,2,2
DANL,MZ,2,2
DANL,IVD,2,2
DANL,SH,2,2
DANL,LV,2,2
DANL,NEMI,2,2
DANL,LYDB,2,2
DANL,XV,2,2
LH,KMJ,2,2
LH,JELLR,2,2
LH,MZ,2,2
LH,IVD,2,2
LH,SH,2,2
LH,LV,2,2
LH,NEMI,2,2
LH,LYDB,2,2
LH,XV,2,2
KMJ,JELLR,2,2
KMJ,MZ,2,2
KMJ,IVD,2,2
KMJ,SH,2,2
KMJ,LV,2,2
KMJ,NEMI,2,2
KMJ,LYDB,2,2
KMJ,XV,2,2
JELLR,MZ,2,2
JELLR,IVD,2,2
JELLR,SH,2,2
JELLR,LV,2,2
JELLR,NEMI,2,2
JELLR,LYDB,2,2
JELLR,XV,2,2
MZ,IVD,2,2
MZ,SH,2,2
MZ,LV,2,2
MZ,NEMI,2,2
MZ,LYDB,2,2
MZ,XV,2,2
IVD,SH,2,2
IVD,LV,2,2
IVD,NEMI,2,2
IVD,LYDB,2,2
IVD,XV,2,2
SH,LV,2,2
SH,NEMI,2,2
SH,LYDB,2,2
SH,XV,2,2
LV,NEMI,2,2
LV,LYDB,2,2
LV,XV,2,2
NEMI,LYDB,2,2
NEMI,XV,2,2
LYDB,XV,2,2
NBAOVERTIME,MALES,,2
NBAOVERTIME,MAS,4,2
NBAOVERTIME,GC,4,2
NBAOVERTIME,LOB,4,2
NBAOVERTIME,TORBB,4,2
MALES,MAS,2,2
MALES,GC,2,2
MALES,LOB,2,2
MALES,TORBB,2,2
MAS,GC,2,2
MAS,LOB,2,2
MAS,TORBB,2,2
GC,LOB,2,2
GC,TORBB,2,2
LOB,TORBB,2,2
SOMANYTABS,JL,4,2
SOMANYTABS,MAIB,4,2
SOMANYTABS,VB,4,2
SOMANYTABS,NV,4,2
SOMANYTABS,SARH,4,2
SOMANYTABS,SARK,4,2
SOMANYTABS,KARA,4,2
SOMANYTABS,AKD,4,2
JL,MAIB,2,2
JL,VB,2,2
JL,NV,2,2
JL,SARH,2,2
JL,SARK,2,2
JL,KARA,2,2
JL,AKD,2,2
MAIB,VB,2,2
MAIB,NV,2,2
MAIB,SARH,2,2
MAIB,SARK,2,2
MAIB,KARA,2,2
MAIB,AKD,2,2
VB,NV,2,2
VB,SARH,2,2
VB,SARK,2,2
VB,KARA,2,2
VB,AKD,2,2
NV,SARH,2,2
NV,SARK,2,2
NV,KARA,2,2
